COD_CIUDAD_MUNI,CIUDAD_MUNICIPIO,Amenaza,Desplazamiento forzado,Homicidio
0.0,SIN DEFINIR,952.0,5160.725,6463.829
5.001,Medellin,4719.378,15764.119,5792.28
5.002,Abejorral,553.0,4317.233,1133.0
5.004,Abriaqui,68.0,2037.0,354.0
5.021,Alejandria,197.0,3733.636,678.0
5.03,Amaga,396.0,2269.0,1185.0
5.031,Amalfi,1320.0,3947.535,2134.0
5.034,Andes,853.0,4450.084,2741.0
5.036,Angelopolis,143.0,1903.0,356.0
5.038,Angostura,436.0,4710.0,818.0
5.04,Anori,1096.0,6218.987,1644.0
5.042,Santafe De Antioquia,370.0,4302.0,1272.0
5.044,Anza,229.0,4027.024,799.0
5.045,Apartado,4349.0,11915.702,2953.623
5.051,Arboletes,763.0,7782.387,1386.0
5.055,Argelia,1089.0,3016.098,1946.0
5.059,Armenia,197.0,821.0,288.0
5.079,Barbosa,661.0,3888.081,2317.0
5.086,Belmira,116.0,714.0,298.0
5.088,Bello,2006.0,5301.694,1787.618
5.091,Betania,562.0,3587.0,1050.0
5.093,Betulia,769.0,5325.2519999999995,1476.0
5.101,Ciudad Bolivar,687.0,4412.145,2317.0
5.107,Brice̱o,2410.0,4303.134,1016.0
5.113,Buritica,547.0,4473.885,413.0
5.12,Caceres,4413.046,8789.447,2145.0
5.125,Caicedo,357.0,3733.0,860.0
5.129,Caldas,291.0,1888.0,1937.0
5.134,Campamento,1093.0,3601.007,1359.0
5.138,Ca̱asgordas,743.0,4101.919,1874.0
5.142,Caracoli,231.0,1223.0,398.0
5.145,Caramanta,130.0,827.0,454.0
5.147,Carepa,1867.0,6331.366,3280.004
5.148,El Carmen De Viboral,251.0,4192.225,2780.0
5.15,Carolina,43.0,498.0,266.0
5.154,Caucasia,4265.258,7768.794,3132.0
5.172,Chigorodo,2364.0,10924.236,4301.323
5.19,Cisneros,115.0,1356.0,895.0
5.197,Cocorna,674.0,4341.191,3211.0
5.206,Concepcion,111.0,3526.0,513.0
5.209,Concordia,1021.0,3890.064,1288.0
5.212,Copacabana,127.0,1176.0,1870.0
5.234,Dabeiba,3059.0,7774.489,3941.0
5.237,Donmatias,158.0,674.0,514.0
5.24,Ebejico,218.0,1333.0,498.0
5.25,El Bagre,4888.0,10985.431,1510.0
5.264,Entrerrios,34.0,275.0,163.0
5.266,Envigado,177.0,699.0,2281.0
5.282,Fredonia,131.0,990.0,862.0
5.284,Frontino,830.0,8736.25,2071.0
5.306,Giraldo,201.0,953.0,341.0
5.308,Girardota,169.0,1310.0,1445.0
5.31,Gomez Plata,124.0,943.0,480.0
5.313,Granada,919.0,4871.2,2814.0
5.315,Guadalupe,197.0,1641.0,643.0
5.318,Guarne,181.0,1437.0,1624.0
5.321,Guatape,99.0,2128.0,434.0
5.347,Heliconia,169.0,2217.0,507.0
5.353,Hispania,63.0,377.0,349.0
5.36,Itagui,911.0,4545.277,1029.964
5.361,Ituango,3676.124,4961.381,3401.0
5.364,Jardin,263.0,1930.0,1242.0
5.368,Jerico,38.0,342.0,288.0
5.376,La Ceja,133.0,2592.0,2449.0
5.38,La Estrella,224.0,855.0,1395.0
5.39,La Pintada,202.0,1203.0,440.0
5.4,La Union,182.0,5263.626,1502.0
5.411,Liborina,709.0,3783.373,685.0
5.425,Maceo,641.0,3163.0,1146.0
5.44,Marinilla,241.0,4324.0,1895.0
5.467,Montebello,163.0,3949.087,613.0
5.475,Murindo,502.0,6084.0,126.0
5.48,Mutata,2211.0,11560.441,2859.0
5.483,Nari̱o,880.0,3682.093,1777.0
5.49,Necocli,1464.0,7780.628,2649.0
5.495,Nechi,1309.0,6652.1630000000005,685.0
5.501,Olaya,95.0,513.0,325.0
5.541,Pe̱ol,244.0,3688.468,1083.0
5.543,Peque,454.0,4125.641,950.0
5.576,Pueblorrico,146.0,1668.0,601.0
5.579,Puerto Berrio,1610.0,4688.982,3149.064
5.585,Puerto Nare,267.0,2870.0,1187.0
5.591,Puerto Triunfo,210.0,2388.0,947.0
5.604,Remedios,1650.0,5871.198,3702.0
5.607,Retiro,38.0,746.0,740.0
5.615,Rionegro,319.0,2402.0,2771.163
5.628,Sabanalarga,1513.0,4739.745,648.0
5.631,Sabaneta,96.0,433.0,443.0
5.642,Salgar,1189.0,3961.432,1961.0
5.647,San Andres De Cuerquia,882.0,4638.0,836.0
5.649,San Carlos,871.0,4698.258,2153.096
5.652,San Francisco,485.0,4219.125,1436.0
5.656,San Jeronimo,116.0,1184.0,1015.0
5.658,San Jose De La Monta̱a,133.0,1123.0,233.0
5.659,San Juan De Uraba,532.0,8060.262,631.0
5.66,San Luis,453.0,4587.813,2298.0
5.664,San Pedro De Los Milagros,230.0,5641.739,812.0
5.665,San Pedro De Uraba,744.0,7735.115,1358.0
5.667,San Rafael,610.0,4860.257,2376.0
5.67,San Roque,468.0,4043.246,1853.0
5.674,San Vicente,507.0,4524.041,953.0
5.679,Santa Barbara,224.0,3524.0,1491.0
5.686,Santa Rosa De Osos,426.0,2707.0,1382.0
5.69,Santo Domingo,375.0,4113.105,2240.0
5.697,El Santuario,272.0,4270.206,1930.0
5.736,Segovia,3623.0,7578.417,2691.599
5.756,Sonson,932.0,3992.177,3349.0
5.761,Sopetran,233.0,1632.0,1561.0
5.789,Tamesis,212.0,2207.0,1179.0
5.79,Taraza,4993.107,8226.895,2310.236
